instancias,n,v,backtracking,programacion_dinamica
1,1,100,0.000728,0.006908
2,2,100,0.000752,0.017247
3,3,100,0.001921,0.034491
4,4,100,0.002285,0.069909
5,5,100,0.002636,0.088909
6,6,100,0.002901,0.212765
7,7,100,0.005767,0.176923
8,8,100,0.007343,0.218764
9,9,100,0.006571,1.1984
10,10,100,0.010262,0.736355
11,11,100,0.005981,0.400185
12,12,100,0.017871,1.38431
13,13,100,0.013635,2.35022
14,14,100,0.014869,2.5648
15,15,100,0.024294,3.82466
16,16,100,0.013433,2.03637
17,17,100,0.023231,8.43195
18,18,100,0.034568,10.0368
19,19,100,0.04879,5.00282
20,20,100,0.057281,26.4021
21,21,100,0.048119,21.7477
22,22,100,0.070753,28.8664
23,23,100,0.174677,120.469
24,24,100,0.091613,77.9481
25,25,100,0.015779,27.1648
26,26,100,0.122625,51.6596
27,27,100,0.084144,15.6758
28,28,100,0.053531,36.3077
29,29,100,0.056745,78.7269
30,30,100,0.177024,215.815
31,31,100,0.120927,90.6137
32,32,100,0.143979,78.932
33,33,100,0.227854,315.676
34,34,100,0.117391,51.4987
35,35,100,0.290996,296.333
36,36,100,0.142073,134.486
37,37,100,0.233723,538.403
38,38,100,0.131696,72.3523
39,39,100,0.237545,237.386
40,40,100,0.37319,258.456
41,41,100,0.253479,1084.39
42,42,100,0.140891,344.998
43,43,100,0.290215,410.736
44,44,100,1.27423,5489.72
45,45,100,0.781995,16980.5
46,46,100,0.499933,2147.2
47,47,100,0.796419,3346.49
48,48,100,0.556501,3804.12
49,49,100,0.527872,1268.67
50,50,100,0.367996,635.406
