instancias,n,v,backtracking,programacion_dinamica
1,1,10000,0.000602,0.379275
2,2,10000,0.000685,0.964248
3,3,10000,0.001643,2.13843
4,4,10000,0.002613,4.45351
5,5,10000,0.005856,7.58052
6,6,10000,0.008812,11.4987
7,7,10000,0.019287,19.7357
8,8,10000,0.038119,36.0583
9,9,10000,0.045639,43.0455
10,10,10000,0.026728,78.8409
11,11,10000,0.046622,168.752
12,12,10000,0.111029,177.524
13,13,10000,0.08948,423.827
14,14,10000,0.378527,861.448
15,15,10000,0.34985,433.063
16,16,10000,0.230354,330.306
17,17,10000,0.962605,1923.63
18,18,10000,0.355358,1020.88
19,19,10000,0.617138,2627.87
20,20,10000,1.56539,11511.8
