instancias,n,v,backtracking,programacion_dinamica
1,1,100,0.000808,0.007224
2,2,100,0.001496,0.016052
3,3,100,0.002793,0.023725
4,4,100,0.003674,0.03503
5,5,100,0.004403,0.042787
6,6,100,0.005003,0.051007
7,7,100,0.006178,0.064442
8,8,100,0.008022,0.099092
9,9,100,0.009467,0.096047
10,10,100,0.010341,0.14019
11,11,100,0.011168,0.132337
12,12,100,0.012436,0.152884
13,13,100,0.01417,0.214688
14,14,100,0.018831,0.218847
15,15,100,0.020875,0.224419
16,16,100,0.018153,0.2499
17,17,100,0.019904,0.301709
18,18,100,0.023264,0.332805
19,19,100,0.024843,0.374458
20,20,100,0.030388,0.373057
21,21,100,0.026324,0.403527
22,22,100,0.028079,0.484638
23,23,100,0.029837,0.586192
24,24,100,0.031721,0.568711
25,25,100,0.033466,0.587559
26,26,100,0.035589,0.655885
27,27,100,0.052653,0.654957
28,28,100,0.039437,0.752152
29,29,100,0.041747,0.745959
30,30,100,0.043778,0.793676
31,31,100,0.046132,0.956314
32,32,100,0.052545,0.948041
33,33,100,0.051617,1.01379
34,34,100,0.075439,1.07131
35,35,100,0.056255,1.13254
36,36,100,0.064685,1.09815
37,37,100,0.085205,1.17701
38,38,100,0.063384,1.21558
39,39,100,0.065851,1.27879
40,40,100,0.084431,1.34267
41,41,100,0.088303,1.48556
42,42,100,0.07354,1.59509
43,43,100,0.076875,1.57387
44,44,100,0.09767,1.63182
45,45,100,0.101761,1.69591
46,46,100,0.093493,1.74446
47,47,100,0.087596,1.98059
48,48,100,0.090187,2.16113
49,49,100,0.09341,2.07769
50,50,100,0.096116,2.1883
